# NORDEXPORT SARL - EXPORT CONFIDENTIEL - base clients
# genere le 2026-05-12 02:41 - 10 enregistrements
id,nom,prenom,email,telephone,iban,solde_eur
1001,Moreau,Camille,c.moreau@example.com,0612345678,FR7630006000011234567890189,12450.00
1002,Petit,Lucas,lucas.petit@example.net,0623456789,FR7612548029981234567890123,3320.50
1003,Garnier,Emma,emma.garnier@example.org,0634567890,FR7610107001011234567890154,87600.00
1004,Faure,Hugo,hugo.faure@example.com,0645678901,FR7630003035201234567890145,540.20
1005,Roussel,Lea,lea.roussel@example.net,0656789012,FR7620041010051234567890136,15990.75
1006,Lemoine,Nathan,n.lemoine@example.org,0667890123,FR7630004008281234567890127,2200.00
1007,Dupuis,Chloe,chloe.dupuis@example.com,0678901234,FR7610278073001234567890118,46110.40
1008,Girard,Louis,louis.girard@example.net,0689012345,FR7630002005501234567890109,990.00
1009,Andre,Jade,jade.andre@example.org,0690123456,FR7613807008401234567890190,73250.00
1010,Mercier,Gabriel,g.mercier@example.com,0601234567,FR7617569000301234567890181,5600.00
